nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,9,3,6.4,2,2,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,10,5,10.600000000000001,4,3,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,11,14,34.800000000000004,10,2,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,12,10,24.200000000000003,7,7,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,13,1,2.7,1,1,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,14,8,17.4,6,4,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,15,10,24.6,7,5,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,16,9,23.200000000000003,5,7,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,17,9,21.6,7,4,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,18,13,29.6,10,6,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,19,2,5.0,2,2,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,20,7,16.200000000000003,4,4,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,21,10,22.700000000000003,7,5,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,22,15,34.0,12,9,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,23,28,66.0,16,9,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,10,1,6.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,11,5,66.0,3,3,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,12,1,12.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,14,1,10.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,17,1,15.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,18,2,18.0,2,2,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,20,1,6.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,22,2,18.0,2,2,H2075
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,11,1,10.0,1,1,H2075
