nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,0,98.0,280.5,84.0,12.0
Ibis budget Strasbourg Centre République,2025,3,F_B,SANS ALCOOL,1,52.0,157.5,37.0,11.0
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,0,18.0,156.0,15.0,5.0
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SALEE,1,7.0,46.5,7.0,4.0
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,0,50.0,165.5,36.0,8.0
Ibis budget Strasbourg Centre République,2025,4,F_B,FOOD SUCREE,1,17.0,65.5,14.0,6.0
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,0,142.0,446.5,106.0,11.0
Ibis budget Strasbourg Centre République,2025,4,F_B,SANS ALCOOL,1,59.0,198.0,43.0,10.0
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,0,11.0,42.5,10.0,4.0
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SALEE,1,1.0,2.5,1.0,1.0
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,0,27.0,82.0,22.0,9.0
Ibis budget Strasbourg Centre République,2025,5,F_B,FOOD SUCREE,1,14.0,41.0,9.0,6.0
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,0,111.0,354.5,85.0,10.0
Ibis budget Strasbourg Centre République,2025,5,F_B,SANS ALCOOL,1,49.0,131.5,39.0,9.0
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,0,17.0,61.0,15.0,4.0
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SALEE,1,24.0,102.5,18.0,3.0
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,0,50.0,132.5,44.0,9.0
Ibis budget Strasbourg Centre République,2025,6,F_B,FOOD SUCREE,1,37.0,103.0,30.0,9.0
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,0,225.0,959.5,151.0,11.0
Ibis budget Strasbourg Centre République,2025,6,F_B,SANS ALCOOL,1,127.0,350.5,100.0,11.0
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,0,36.0,207.5,23.0,3.0
Ibis budget Strasbourg Centre République,2025,7,F_B,FOOD SALEE,1,11.0,63.0,7.0,4.0
