nom_hotel,annee,mois,categorie,sous_categorie,is_holiday,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,ALCOOL,1,9,98.0,6,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,0,64,410.0,56,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SALEE,1,4,21.0,4,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,0,63,285.0,42,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,FOOD SUCREE,1,4,14.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,0,365,2555.0,260,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,F_B,SANS ALCOOL,1,19,205.0,13,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,COSMETIQUE,0,7,163.0,6,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,0,13,123.0,9,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOS,1,1,1.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,N_F_B,SOUVENIRS,0,1,32.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,ALCOOL,0,71,674.0,49,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SALEE,0,56,296.0,49,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,FOOD SUCREE,0,107,391.0,80,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SANS ALCOOL,0,563,4324.0,394,10,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,F_B,SOUVENIRS,0,3,45.0,3,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,COSMETIQUE,0,5,157.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOS,0,1,8.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,N_F_B,SOUVENIRS,0,1,42.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,ALCOOL,0,96,1221.0,63,5,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SALEE,0,58,340.0,49,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,FOOD SUCREE,0,128,451.0,91,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SANS ALCOOL,0,362,4630.0,228,9,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SANS ALCOOL,1,1,5.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,F_B,SOUVENIRS,0,1,15.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,COSMETIQUE,0,4,108.0,2,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOS,0,3,34.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,N_F_B,SOUVENIRS,0,1,22.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,ALCOOL,0,98,1321.0,67,4,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SALEE,0,52,288.0,45,3,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SALEE,1,1,5.0,1,1,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SUCREE,0,118,555.0,69,6,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,FOOD SUCREE,1,4,13.0,3,2,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,F_B,SANS ALCOOL,0,326,2820.0,204,9,H0373
